Url;Establecimiento;Tipo;Categoria;EdificioSituacion;Direccion;Numero;CodigoPostal;Coordenada_X;Coordenada_Y;Altitud;Municipio;UnidadesAlojativas;Plazas;Telefonos;Telefax;Email
www.abamahotelresort.com;ABAMA GOLF & SPA RESORT;HOTEL;5 ESTRELLAS LUJO;;CTRA. GENERAL TF-47  KM.9 (URB. CLUB DE CAMPO ABAMA);0;38687;0;0;0;GUIA DE ISORA;479;962;922746000;922126100;
www.hotelsislabonita.com;ABINQUE-ISLA BONITA;HOTEL;4 ESTRELLAS;Playa;AVDA. BRUSELAS (PLAYA FA�ABE);8;38670;28.093637;-16.737491;0;ADEJE;439;1317;922713012;922712492;direccionib@hotelsislabonita.com
;ACOROMA;CASA RURAL;CATEGORIA �NICA;Suelo R�stico (Calificaci�n);LOMO DE ACOROMA, 26 ;0;38520;30.160860061645508;-104.68328857421875;0;CANDELARIA;1;3;629862201;922513425;villacoroma@yahoo.es
;ACHACAY, LA;CASA RURAL;CATEGORIA �NICA;Suelo R�stico (Calificaci�n);C/ LA VERA, 18 ;0;38570;28.193882;-16.423958;0;FASNIA;3;4;922700108;;
www.hotelesglobales.com;ACUARIO;HOTEL;2 ESTRELLAS;Ciudad;PARQUE LAS FLORES, 36 ;0;38400;28.404651940000004;-16.55197098;0;PUERTO DE LA CRUZ;31;58;922 374142;922 380450;dir.acuario@hotelesglogales.com
www.casaruraleladelantado.com;ADELANTADO, EL;CASA RURAL;CATEGORIA �NICA;;C/ EL ADELANTADO, 16 ;0;38350;28.48670527;-16.4022781;0;TACORONTE;4;10;922571994;922241010;info@casaruraleladelantado.com
www.hotel-monicasur.com;AEROPUERTO SUR;HOTEL;3 ESTRELLAS;Barrio;AVDA. SANTA CRUZ;17;38611;0;0;0;GRANADILLA DE ABONA;94;161;922390036/922390276;922390156;comercial@hotel-monicasur.com
www.apartamentosaguamar.com;AGUAMAR;APARTAMENTO;3 LLAVES;;ALBANY, S/N.;0;38650;0;0;0;ARONA;140;430;922794407;922794457;administracion@apartamentosaguamar.com
www.adelfas.com;ADELFAS, LAS;APARTAMENTO;1 LLAVE;Urbanizaci�n;GOLF DEL SUR, URB. EL GUINCHO;0;38620;35.74946975708008;-120.6966781616211;0;SAN MIGUEL;45;175;922738316;922738444;info@adelfas.com
;AGUAMARINA;APARTAMENTO;3 LLAVES;Urbanizaci�n;PARCELA H-2 EL GUINCHO, URB.;0;38000;0;0;0;SAN MIGUEL;160;320;922/708090;922/708093;
www.gemahoteles.com;AGUAMARINA GOLF;HOTEL;4 ESTRELLAS;;AVDA. DEL ATLANTICO, 3 (URB. GOLF DEL SUR);0;38620;35.74946975708008;-120.6966781616211;0;SAN MIGUEL;199;388;922738999;922738417;info@aguamarinagolf.com
;ADONIS CAPITAL;HOTEL;2 ESTRELLAS;Ciudad;C/. CRUZ VERDE, 24 ;0;38003;28.46674919;-16.24910027;0;SANTA CRUZ DE TENERIFE;45;69;922284601;922279938;vfumero@adonisresorts.com
www.atlantic-holiday.com;ALBATROS DANSK FOLKE-FERIE;APARTAMENTO;1 LLAVE;Urbanizaci�n;EL JABLE, 42 URB. CALLAO SALVAJE;0;38678;0;0;0;ADEJE;28;68;922740023;922740512;info@atlantic-holiday.com
;AGUERE;HOTEL;1 ESTRELLA;;c/ Obispo Rey Redondo, 55;0;38201;28.48974913;-16.31864995;0;LA LAGUNA;31;47;922259490;922631633;
;AGUILAS , LAS;HOTEL;4 ESTRELLAS;;C/. DR. BARAJAS;19;38400;28.399431;-16.546275;0;PUERTO DE LA CRUZ;220;460;922383200;;
www.tenbel.com;ALBORADA;APARTAMENTO;3 LLAVES;Playa;URB. TEN-BEL ;0;38640;28.081107;-16.724742;0;ARONA;305;927;922731920/730637;922732314;tenbel@tenbel.com
www.alhambra@teneriffa.com/www.hotellaorotava.com;ALHAMBRA;HOTEL;2 ESTRELLAS;;C/. NICANDRO GONZALEZ BORGES;19;38300;28.393002;-16.523139;0;LA OROTAVA;5;10;922320434;922323433;alhambra@hotellaorotava.com
;ALENES DEL MAR, LOS;CASA RURAL;CATEGORIA �NICA;Suelo R�stico (Calificaci�n);CMNO. DE LOS ALENES, N�4;0;38429;0;0;0;SAN JUAN DE LA RAMBLA;3;6;669131707;;
;ALCALA;PENSI�N;1 ESTRELLA;;MARRUECOS, 2 ;0;38686;28.202727980000002;-16.83038755;0;GUIA DE ISORA;22;31;922865457;922865457;
www.coal-hotels.com;ALISIOS, LOS;APARTAMENTO;3 LLAVES;;CTRA. LOS CRISTIANOS-GUAZA, S/N. (URB. LOS ALISIOS) SOMADA DE LOS ERES ;0;38640;0;0;0;ARONA;81;258;922790180;922788316;info@coral-hotels.com
