Plazas;Establecimiento;Tipo;Direccion;Numero;CodigoPostal;Coordenada_X;Coordenada_Y;Altitud;Municipio;basura
0;¡¡¡ÑOO QUE RICO!!!;TASCA;MARITIMA, AVDA. EDF. GUAYRA;0;38530;30.160.860.061.645.500;-10.468.328.857.421.800;0;CANDELARIA;
72;10%;RESTAURANTE;C/. REAL, 171 ;0;38370;0;0;0;LA MATANZA DE ACENTEJO;
24;1/2 BARRIL;BAR;NUEVA, 27 ;0;38280;2.695.871.925.354.000;-8.009.407.806.396.480;0;TEGUESTE;
25;...DONDE CANDE;BAR-CAFETERIA;C/ EL MEDIO ARRIBA, 3;3;38410;2.838.026.109;-16.585.259.720.000.000;0;LOS REALEJOS;
0;SOL DE INVIERNO-AL BARITO;CAFETERIA;C/. DOCTOR JOSE NAVEIRAS, 2 (PZA. FERNANDO PESSOA);0;38001;28.473.806.319.999.900;-1.625.331.152;0;SANTA CRUZ DE TENERIFE;
48;100 AROMAS;CAFETERIA;AVDA. LOS SABANDEÑOS (EDIF. MARTE, L-4);0;38650;0;0;20;ARONA;
50;10 AÑOS;RESTAURANTE;C/ GUIA, 47;0;38370;28.442.989.330.000.000;-1.646.483.566;0;LA MATANZA DE ACENTEJO;
32;1000 MILLAS (1000 MIGLIA);CAFETERIA;SUN BEACH, L-F9 C.C.  ;0;38660;0;0;0;ADEJE;
43;100 % NATURAL;CAFETERIA;ROQUE DE JAMA, 2 (EDIF. GARAJONAY II, L-5);0;38650;28.055.229;-16.717.049;58;ARONA;
50;100 MONTADITOS;BAR-CAFETERIA;C/. OBISPO REY REDONDO, 16;0;38201;2.848.846.748;-16.316.281.110.000.000;0;LA LAGUNA;
0;12 DE MAYO;BAR;EL MEDIO DE ARRIBA, 53 ;0;38410;28.377.843.659.999.900;-1.658.528.227;0;LOS REALEJOS;
70;1892 CLUB CAFE;CAFETERIA;GENERAL FRANCO, 24 (EDIF. REVERON, L-25) ;0;38650;28.051.987;-1.671.719;0;ARONA;
15;18 DE JULIO;RESTAURANTE;PASAJE DE SITJA, 20 ;0;38004;2.846.838.688;-1.626.054.542;0;SANTA CRUZ DE TENERIFE;
132;19TH HOLE (HOYO 19);RESTAURANTE;COMPOSTELA BEACH APTOS. (GOLF II) ;0;38660;4.027.027.893.066.400;-7.966.221.618.652.340;0;ARONA;
50;1960;RESTAURANTE;EL HIERRO, 10 VILLA ISABEL ;0;38000;45.794.654.846.191.400;8.526.862.144.470.210;0;ARONA;
12;18 DE JULIO;BAR;18 DE JULIO, 49 ;0;38004;28.710.827;-17.955.614;0;SANTA CRUZ DE TENERIFE;
65;2000;RESTAURANTE;LA PAZ, URB. (EDIF. AGAVE II);0;38400;0;0;0;PUERTO DE LA CRUZ;
10;1970;BAR;LA MARINA, 17 ;0;38000;2.837.619.007;-1.679.574.549;0;SANTA CRUZ DE TENERIFE;
0;1-X-2;BAR;LA ENTRADA, 1 ;0;38680;28.212.045.730.000.000;-16.781.576.510.000.000;0;GUIA DE ISORA;
